,,英雄之证,凶骨,龙之牙,虚影之尘,愚者之锁,万死的毒针,魔术髓液,宵哭铁桩,励振火药,世界树之种,鬼魂提灯,八连双晶,蛇之宝玉,凤凰羽毛,无间齿轮,禁断书页,人工生命体幼体,陨蹄铁,大骑士勋章,追忆的贝壳,枯淡勾玉,永远结冰,巨人的指环,极光之钢,闲古铃,,,混沌之爪,蛮神心脏,龙之逆鳞,精灵根,战马的幼角,血之泪石,黑兽脂,封魔之灯,智慧之圣甲虫像,起源的胎毛,咒兽胆石,奇奇神酒,晓光炉心,,,,传承结晶,量子,剑之辉石,弓之辉石,枪之辉石,骑之辉石,术之辉石,杀之辉石,狂之辉石,剑之魔石,弓之魔石,枪之魔石,骑之魔石,术之魔石,杀之魔石,狂之魔石,剑之秘石,弓之秘石,枪之秘石,骑之秘石,术之秘石,杀之秘石,狂之秘石,剑阶银棋,弓阶银棋,枪阶银棋,骑阶银棋,术阶银棋,杀阶银棋,狂阶银棋,剑阶金像,弓阶金像,枪阶金像,骑阶金像,术阶金像,杀阶金像,狂阶金像
,,井盖,凶骨,龙牙,黑灰,锁链,毒针,髓液,铁桩,火药,核桃,鬼灯,八连,蛇眼,羽毛,齿轮,书页,血瓶,蹄铁,勋章,贝壳,勾玉,冰块,指环,极光钢,铃铛,箭镞,银冠,爪子,心脏,龙鳞,精灵根,马角,泪石,黑兽脂,神灯,甲虫,胎毛,胆石,神酒,炉心,镜子,蛋,煌星,结晶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,白情2020,,,,,,,30,,,,,,,22,20,20,,20,,,,,,,,,20,,10,,,,,,,10,20,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,情人节2020,,,14,,30,30,,32,14,,,1,,,,,,,16,,20,,16,20,20,,,,,10,,,,,10,,,,,20,3,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CEO快递活动,22,12,21,8,14,14,15,15,12,16,6,13,8,14,16,10,10,13,7,10,9,9,12,12,11,10,5,26,14,13,8,14,12,12,12,28,23,11,15,21,11,7,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,阎魔亭复刻,3,30,,30,3,10,10,30,,,20,,3,,3,3,,,3,,20,10,,,20,3,,,6,4,3,3,20,20,,10,10,5,10,,3,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.5主线上半部,,,,,,9,,3,,,,,4,,3,,,7,,4,,,,,,,30,4,,,1,,,,,2,,2,5,4,3,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,圣诞2019,30,,,3,,,30,5,5,30,,,,1,,,20,,20,,5,1,5,,,,,,1,10,,20,,,20,,5,,10,5,,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,星战二期,5,25,38,38,5,25,20,25,38,25,,20,21,21,20,,,,5,5,5,20,2,20,25,20,,15,15,5,,1,16,15,,12,15,1,,24,10,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,万圣2019复刻,,10,10,,,30,30,,,,,,,21,,1,,,,20,10,3,1,20,,,,,11,15,,,,20,20,,10,,12,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,伊什塔尔祭2019,,30,,,,,,30,,30,20,,,,,,,,20,,,,,,,,,5,13,6,10,20,,5,,15,5,5,5,18,5,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,泳装2019,30,,15,16,15,15,,15,30,,,15,20,20,23,10,15,,,20,,,2,15,,15,,,14,3,,,10,10,20,,,10,,1,10,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,四周年回忆本,,1,,6,1,,,,,,1,,1,4,4,,,,,,3,,,3,3,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,泳装2018复刻,,30,,,,10,,,4,30,,,,1,11,,,10,10,20,11,20,10,20,,,,,7,10,10,20,,20,,10,20,5,10,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ALL信长总进击,13,36,,41,10,,,,14,,21,14,10,6,22,,,3,10,,11,1,20,,,,,10,14,,1,1,20,22,10,,1,15,11,20,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2.4主线,3,3,,,2,,,,,5,1,,3,1,,,,,,,,,,,,30,,1,,,,1,,1,,,,,1,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,二世事件簿联动,30,21,15,38,,15,15,30,,15,1,16,3,23,23,20,,3,10,6,,3,,15,20,,,,16,1,10,20,,,10,10,5,8,10,10,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,帝都圣杯奇谭复刻,,30,15,18,15,,,,30,15,15,20,15,,,15,20,20,,,15,20,,,,,,30,,,,10,20,10,3,10,,10,10,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,大奥活动,,19,33,13,16,40,30,18,15,12,15,15,16,18,48,10,7,,20,2,28,19,20,16,10,,,5,14,5,11,5,20,11,31,9,5,6,19,15,11,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,主线关卡应援,21,17,24,10,16,14,16,23,10,24,16,15,11,30,25,20,14,13,24,13,18,15,19,18,17,,,20,30,26,20,10,13,14,17,23,12,23,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,白情2019,30,,,30,,,,30,,,20,20,20,,,3,,,,,,,,,,,,20,10,,,,,20,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CCC复刻,10,30,30,49,3,,13,3,,30,3,10,,20,3,20,,20,10,20,,,,3,,,,13,16,10,,20,,,13,13,20,10,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,情人节2019,,,,1,15,30,30,15,30,,,,2,,,20,,,20,15,15,,,,,,,,2,,,,,23,10,,23,,3,10,14,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,复刻版：魔法少女纪行 ～Prisma·Codes～ -Re-install-,15,15,10,,,,,,,,,10,15,,,,,10,15,,,,,,,,,,5,10,5,10,,10,10,5,,,,,,,,2,23000000,,10,5,,10,,,,10,5,,10,,,,10,10,,5,,,,,,,,,,,,,,,,
23,麻雀旅馆的活动日志～阎魔亭繁荣记～,,,,30,,10,10,30,,,20,,,,,,,,,,20,10,20,,20,,,,10,,,,,20,,,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,20,20,20,,,,,20,20
24,圣诞节2018 圣桑巴之夜 ～降雪的遗迹与少女骑士～,30,,,,,,,,30,,,,,,,,,,20,,,,,,,,,20,,,10,20,,,,10,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,20,,,,20,20,,20,
25,复刻：冥界的圣诞快乐 轻量版,,,,3,30,,30,30,,30,20,,,,,,20,20,,,20,,,,,,,,10,,,,21,1,20,,20,15,10,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,20,,,20,,20,,20
26,神秘之国ONILAND!! ～鬼之王与神威的黄金～,,10,10,,,30,30,,,,,,,21,,1,,,,20,10,3,1,20,,,,,11,15,,,,20,20,,10,,12,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,,,,20,,20
27,复刻：Halloween·strike！魔之建筑攀登者/姬路城大决战 轻量版,15,,,19,30,15,,,,15,20,15,,10,15,15,15,20,,,20,,,,,,,20,5,,10,20,10,10,5,5,20,10,10,,,,,3,,,10,,10,,,10,,10,,10,,10,10,,10,,10,,10,5,20,20,20,,,20,,20,20,20,,,20,
28,Battle in New York 2018,,,,,,,30,,30,,,,,20,,,,,20,,,,20,,,,,,8,10,,,,25,20,5,5,5,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,20,,,20,,20,,20,
29,复刻版：Fate/Accel Zero Order -LAP 2-,20,30,20,40,,30,,,,30,,30,,20,20,20,,10,20,,,,,,,,,5,10,10,15,25,5,10,,,,10,,,,,,4,,,20,,20,20,,,,20,,20,20,,,,20,,20,20,,,,,,,,,,,,,,,,
30,Servant Summer Festival！,,30,,,,10,,,4,30,,,,1,11,,,10,10,20,11,20,10,20,,,,,7,10,10,20,,20,,10,20,5,10,,,,,4,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,
31,「復刻:デスジェイル･サマーエスケイプ ～罪と絶望のメイヴ大監獄2017～ 轻量版」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,,,,,20,20,20,,,
32,「复刻 デッドヒート･サマーレース！ ～夢と希望のイシュタルカップ2017～轻量版」,35,,35,,5,30,35,,30,5,20,5,25,25,20,25,5,,25,45,,20,,,,,,,13,5,8,5,20,25,25,12,25,14,20,,,,,3,,,,,,,,,,,,,,,,,,,,,,,20,,,,20,20,20,20,,,,20,20,20
33,唠唠叨叨帝都圣杯奇谭,,30,15,18,15,,,,30,15,15,20,15,,,15,20,20,,,15,20,,,,,,30,,,,10,20,10,3,10,,10,10,,,,,2,,,,,,,,,,,,,,,,,,,,,,,20,,20,,,20,,20,,20,,,20,
34,复刻：唠唠叨叨明治维新 轻量版,30,,,,30,,30,30,,,20,,,,,,,,20,,20,,,,,,,,10,,10,,15,,20,10,15,10,10,,,,,3,,,,,,,,,,,,,,,,,,,,,,,20,20,,,,,20,20,20,,,,,20
35,联动活动「Apocrypha/Inheritance of Glory」,30,,,,,,,,10,,,,20,10,20,20,,20,10,,,20,,,,,,10,1,,13,20,20,,,10,,,,,,,,3,,,20,,20,20,,,,20,,20,20,,,,20,,20,20,,,,,,,,,,,,,,,,
36,复刻：星之三藏亲，远赴天竺 轻量版,30,30,,,,,,,30,,,20,,20,20,20,,20,,,,,,,,,,,10,10,10,20,,20,20,,20,,,,,,,3,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,
37,「复刻：Saber Wars ～Lily的宇宙武者修行～ 轻量版」,30,,30,28,,,,,,,,,,20,,,9,,20,,,,,,,,,19,19,19,,,,,,10,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,20,20,20,,,20,,20,20,20,,,20,
38,「复刻：空之境界 the Garden of Order -Revival-」,52,30,30,36,,,,30,,30,24,30,,20,20,,10,10,,,,,,,,,,20,10,15,,,20,,,,,10,,,,,,3,,10,10,10,10,10,10,10,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10
39,限时活动「情人节2018 ～繁荣的情人节巧克力花园～」,,,30,,,20,,20,,,,20,20,10,15,15,20,,20,20,20,,,,,,,,,,10,10,10,10,20,10,20,10,10,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,限时活动「节分酒宴绘卷 鬼乐百重塔」,6,24,12,9,6,4,30,5,,26,22,17,11,18,16,11,6,18,5,7,21,,,,,,,17,8,17,6,8,7,9,3,11,16,6,14,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,复刻：达芬奇与七位赝作英灵 轻量版,,,,4,,,,,,,20,,,20,,,20,,,,,,,,,,,20,21,,20,20,20,20,,,,,,,,,,5,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,
42,冥界的圣诞快乐,,,,3,30,,,30,,,,,,,,,,20,,,20,,,,,,,,10,,,,21,1,20,,20,15,10,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,20,,,20,,20,,20
43,复刻：第二代是Alter亲～2017圣诞节～ 轻量版,30,40,,41,,,,,,33,,31,30,20,1,,,,,20,,,,,,,,,10,10,10,20,20,,,10,,,,,,,,2,6188,30,30,30,30,30,30,30,20,20,20,20,20,20,20,10,10,10,10,10,10,10,20,20,20,,,,,20,20,20,,,,
44,Halloween·strike！魔之建筑攀登者/姬路城大决战,15,,,19,30,15,,,,15,20,15,,5,15,15,15,20,,,20,,,,,,,20,10,,10,20,10,10,10,5,20,10,10,,,,,2,,,10,,10,,,10,,10,,10,,10,10,,10,,10,,10,5,20,20,20,,,20,,20,20,20,,,20,
45,复刻：Halloween Comeback！超极☆大南瓜村 ～踏上冒险之旅……～ 轻量版,5,,30,,5,,,,,,,,20,20,,,,,3,,,,,,,,,,10,5,,,20,20,20,10,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,尼禄祭再临～2018 Autumn～,,,,30,,,,,,20,,20,,20,20,,20,20,,,,,,,,,,25,5,5,5,5,5,5,5,15,5,5,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
