,,英雄之证,凶骨,龙之牙,虚影之尘,愚者之锁,万死的毒针,魔术髓液,宵哭铁桩,励振火药,世界树之种,鬼魂提灯,八连双晶,蛇之宝玉,凤凰羽毛,无间齿轮,禁断书页,人工生命体幼体,陨蹄铁,大骑士勋章,追忆的贝壳,枯淡勾玉,永远结冰,巨人的指环,极光之钢,闲古铃,,,混沌之爪,蛮神心脏,龙之逆鳞,精灵根,战马的幼角,血之泪石,黑兽脂,封魔之灯,智慧之圣甲虫像,起源的胎毛,咒兽胆石,奇奇神酒,晓光炉心,,,,传承结晶,量子,剑之辉石,弓之辉石,枪之辉石,骑之辉石,术之辉石,杀之辉石,狂之辉石,剑之魔石,弓之魔石,枪之魔石,骑之魔石,术之魔石,杀之魔石,狂之魔石,剑之秘石,弓之秘石,枪之秘石,骑之秘石,术之秘石,杀之秘石,狂之秘石,剑阶银棋,弓阶银棋,枪阶银棋,骑阶银棋,术阶银棋,杀阶银棋,狂阶银棋,剑阶金像,弓阶金像,枪阶金像,骑阶金像,术阶金像,杀阶金像,狂阶金像
,,井盖,凶骨,龙牙,黑灰,锁链,毒针,髓液,铁桩,火药,核桃,鬼灯,八连,蛇眼,羽毛,齿轮,书页,血瓶,蹄铁,勋章,贝壳,勾玉,冰块,指环,极光钢,铃铛,箭镞,银冠,爪子,心脏,龙鳞,精灵根,马角,泪石,黑兽脂,神灯,甲虫,胎毛,胆石,神酒,炉心,镜子,蛋,煌星,结晶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,圣诞2019,,,3,,,,,,,,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,伊什塔尔祭2019,3,,,,3,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,圣诞节2018 圣桑巴之夜 ～降雪的遗迹与少女骑士～,,3,3,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,448,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,
4,Battle in New York 2018,3,,,3,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,
5,复刻：达芬奇与七位赝作英灵 轻量版 伪手稿,,4,,4,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,,,,2,2,2,2
6,复刻：达芬奇与七位赝作英灵 轻量版 真手稿,4,,4,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,544,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,,,2,2,2,,,,
7,冥界的圣诞快乐,,,,,,,3,,,3,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,
8,尼禄祭再临～2018 Autumn～,3,,,,3,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,第二代是Alter亲 ～2017圣诞节～,,4,,4,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,尼禄祭再临 ～2017 Autumn～,,,,,4,,,,,,2,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,达芬奇与七位赝作英灵 伪手稿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,达芬奇与七位赝作英灵 真手稿,4,4,4,4,,,,,,,,2,2,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,大约一周的圣诞Alter小姐,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
