1,量子,【强化资源】实质为量子的碎片。包含着多种可能性的灵子变动。在各种魔术中被作为燃料使用。
2,剑之辉石,蕴藏着剑士力量的光辉之石
3,弓之辉石,蕴藏着弓兵力量的光辉之石
4,枪之辉石,蕴藏着枪兵力量的光辉之石
5,骑之辉石,蕴藏着骑士力量的光辉之石
6,术之辉石,蕴藏着魔术师力量的光辉之石
7,杀之辉石,蕴藏着暗杀者力量的光辉之石
8,狂之辉石,蕴藏着狂战士力量的光辉之石
9,剑之魔石,蕴藏着较强剑士力量的魔法石
10,弓之魔石,蕴藏着较强弓兵力量的魔法石
11,枪之魔石,蕴藏着较强枪兵力量的魔法石
12,骑之魔石,蕴藏着较强骑士力量的魔法石
13,术之魔石,蕴藏着较强魔术师力量的魔法石
14,杀之魔石,蕴藏着较强暗杀者力量的魔法石
15,狂之魔石,蕴藏着较强狂战士力量的魔法石
16,剑之秘石,蕴藏着剑士强大力量的宝石
17,弓之秘石,蕴藏着弓兵强大力量的宝石
18,枪之秘石,蕴藏着枪兵强大力量的宝石
19,骑之秘石,蕴藏着骑士强大力量的宝石
20,术之秘石,蕴藏着魔术师强大力量的宝石
21,杀之秘石,蕴藏着暗杀者强大力量的宝石
22,狂之秘石,蕴藏着狂战士强大力量的宝石
23,剑阶银棋,象征Saber职阶的棋子
24,弓阶银棋,象征Archer职阶的棋子
25,枪阶银棋,象征Lancer职阶的棋子
26,骑阶银棋,象征Rider职阶的棋子
27,术阶银棋,象征Caster职阶的棋子
28,杀阶银棋,象征Assassin职阶的棋子
29,狂阶银棋,象征Berserker职阶的棋子
30,剑阶金像,赞颂Saber职阶的纪念像
31,弓阶金像,赞颂Archer职阶的纪念像
32,枪阶金像,赞颂Lancer职阶的纪念像
33,骑阶金像,赞颂Rider职阶的纪念像
34,术阶金像,赞颂Caster职阶的纪念像
35,杀阶金像,赞颂Assassin职阶的纪念像
36,狂阶金像,赞颂Berserker职阶的纪念像
